updates,num_episodes,num_timesteps,mean,median,min,max
10,8,5632,-0.15,0.03,-1.04,0.12
20,20,10752,-0.24,0.1,-1.11,0.13
30,28,15872,-0.22,0.07,-1.11,0.14
40,40,20992,0.11,0.12,-0.03,0.18
50,52,26112,0.13,0.15,0.03,0.2
60,60,31232,0.14,0.14,0.08,0.2
70,72,36352,0.16,0.17,0.04,0.21
80,80,41472,0.15,0.14,0.09,0.26
90,92,46592,0.03,0.16,-1.05,0.21
100,100,51712,0.15,0.15,0.08,0.2
110,112,56832,0.16,0.16,0.06,0.25
120,120,61952,0.18,0.18,0.09,0.23
130,132,67072,0.19,0.2,0.11,0.24
140,144,72192,0.19,0.2,0.11,0.29
150,152,77312,0.21,0.21,0.13,0.29
160,164,82432,0.2,0.2,0.17,0.24
170,172,87552,0.2,0.2,0.18,0.26
180,184,92672,0.23,0.21,0.15,0.4
190,192,97792,0.23,0.23,0.2,0.25
200,204,102912,0.3,0.25,0.2,0.73
210,216,108032,0.32,0.27,0.19,0.85
220,224,113152,0.37,0.31,0.23,0.97
230,236,118272,0.78,0.94,0.24,1.0
240,244,123392,0.85,0.97,0.39,1.02
250,256,128512,0.85,0.96,0.34,1.06
260,264,133632,1.03,1.03,0.94,1.1
270,276,138752,1.07,1.05,0.99,1.33
280,284,143872,1.01,1.06,0.48,1.13
290,296,148992,1.15,1.13,1.09,1.23
300,308,154112,1.17,1.13,0.96,1.37
310,316,159232,1.27,1.2,1.05,1.82
320,328,164352,1.51,1.55,1.11,1.96
330,336,169472,1.59,1.58,1.21,1.95
340,348,174592,1.84,1.9,1.31,2.01
350,356,179712,1.89,1.96,1.29,2.03
360,368,184832,2.03,2.05,1.92,2.15
370,376,189952,2.01,2.07,1.65,2.15
380,388,195072,2.06,2.08,1.89,2.2
390,400,200192,2.12,2.14,2.03,2.2
400,408,205312,2.12,2.16,1.77,2.24
410,420,210432,2.17,2.17,2.1,2.21
420,428,215552,2.19,2.21,2.05,2.25
430,440,220672,2.17,2.21,1.98,2.26
440,448,225792,2.17,2.19,1.99,2.24
450,460,230912,2.2,2.19,2.11,2.34
460,472,236032,2.24,2.23,2.15,2.32
470,480,241152,2.21,2.19,2.11,2.32
480,492,246272,2.23,2.23,2.04,2.52
490,500,251392,2.21,2.21,2.16,2.29
500,512,256512,2.23,2.21,2.15,2.45
510,520,261632,2.25,2.26,2.15,2.32
520,532,266752,2.31,2.26,2.17,2.6
530,540,271872,2.31,2.26,2.18,2.81
540,552,276992,2.36,2.29,2.17,2.73
550,564,282112,2.3,2.29,2.17,2.45
560,572,287232,2.38,2.29,2.16,2.99
570,584,292352,2.33,2.31,2.27,2.44
580,592,297472,2.52,2.43,2.2,3.02
590,604,302592,2.54,2.37,2.27,3.13
600,612,307712,2.72,2.72,2.35,3.2
610,624,312832,2.57,2.46,2.21,3.0
620,632,317952,2.61,2.5,2.21,3.16
630,644,323072,2.72,2.6,2.28,3.32
640,656,328192,2.66,2.65,2.24,3.23
650,664,333312,2.67,2.64,2.18,3.26
660,676,338432,2.87,3.03,2.31,3.28
670,684,343552,2.94,3.24,2.3,3.32
680,696,348672,2.98,3.05,2.24,3.43
690,705,353792,2.65,2.88,-0.02,3.51
700,716,358912,3.14,3.24,2.68,3.33
710,728,364032,3.05,3.25,2.26,3.41
720,736,369152,3.01,3.19,2.28,3.4
730,748,374272,3.07,3.23,2.3,3.48
740,756,379392,3.24,3.28,2.66,3.4
750,768,384512,3.14,3.26,2.3,3.34
760,776,389632,3.3,3.29,3.23,3.43
770,788,394752,2.9,2.93,2.29,3.37
780,797,399872,2.96,3.08,2.27,3.5
790,808,404992,2.81,2.8,2.3,3.3
800,820,410112,2.96,3.0,2.25,3.6
810,828,415232,3.26,3.31,2.57,3.6
820,840,420352,3.18,3.29,2.42,3.39
830,848,425472,2.99,3.14,2.34,3.46
840,860,430592,3.06,3.23,2.38,3.43
850,868,435712,3.16,3.28,2.45,3.51
860,880,440832,3.28,3.3,2.92,3.45
870,889,445952,3.36,3.34,3.22,3.6
880,900,451072,3.32,3.33,2.65,3.66
890,912,456192,3.34,3.34,3.06,3.6
900,920,461312,3.35,3.39,2.83,3.6
910,932,466432,3.4,3.48,2.88,3.56
920,940,471552,3.47,3.52,2.97,3.61
930,952,476672,3.45,3.48,3.32,3.58
940,961,481792,3.29,3.32,2.72,3.59
950,972,486912,3.37,3.32,3.24,3.61
960,984,492032,3.4,3.38,3.24,3.57
970,992,497152,3.46,3.45,3.29,3.63
980,1004,502272,3.38,3.39,3.14,3.63
990,1012,507392,3.21,3.34,2.51,3.48
1000,1024,512512,3.44,3.46,3.06,3.61
